# One verdict per published field of the four resources whose fields
# decide what this server can do. `gates api-fields` holds this,
# testdata/api-surface.json and internal/gcal to each other, and runs in
# make check with no network.
#
# `modeled` names a field internal/gcal carries; the gate fails if the
# struct does not have it. `out` says why this server ignores it; the
# gate fails if the struct DOES have it, so the record cannot claim a
# field is ignored while the code reads it.
#
# Methods are the coarse axis (testdata/api-coverage.tsv). This is the
# fine one, and it exists because this API keeps its capability in the
# Event resource: a server can model twelve of its 44 properties and
# still say "we support events". A reason of the form `planned=N` names
# the phase that will model the field.
#
# resource	field	verdict	reason
Calendar	timeZone	modeled	the second source in the zone resolution order, and the reason list_calendars carries it (§4.1)
CalendarListEntry	accessRole	modeled	what this user may do here, which decides whether a write is refused before it is attempted (§7.1)
CalendarListEntry	autoAcceptInvitations	out	read-only here, and only meaningful on a resource calendar (§1)
CalendarListEntry	backgroundColor	modeled	the color actually shown, which colorId only indexes
CalendarListEntry	colorId	modeled	a per-user override, set by manage_calendar (§7.5); the ids come from the calendar palette in colors.get, which get_settings reports
CalendarListEntry	conferenceProperties	modeled	as Calendar.conferenceProperties. Carried here too, so the calendar list this server already holds answers the question without a second request
CalendarListEntry	dataOwner	out	read-only, and an email address nothing here needs (§9)
CalendarListEntry	defaultReminders	modeled	the calendar's default reminders, which an event inherits
CalendarListEntry	deleted	modeled	a deleted entry is skipped when the list is read
CalendarListEntry	description	modeled	shown by get_calendar
CalendarListEntry	etag	modeled	If-Match on a calendarList patch (§4.4)
CalendarListEntry	foregroundColor	modeled	as backgroundColor
CalendarListEntry	hidden	modeled	hidden in the Calendar UI; list_calendars says so and can include them
CalendarListEntry	id	modeled	the calendar this subscription is to
CalendarListEntry	kind	out	a constant string naming the resource type
CalendarListEntry	location	modeled	shown by get_calendar
CalendarListEntry	notificationSettings	modeled	manage_calendar writes them (§7.5): what THIS user is emailed about on this calendar. The list is replaced whole, because that is what Google does with the object, and the method is always email — the only value the discovery document publishes
CalendarListEntry	primary	modeled	the account's own calendar, which sorts first and is what "primary" resolves to
CalendarListEntry	selected	modeled	not shown in the UI, which is not the same as hidden and confuses people
CalendarListEntry	summary	modeled	the calendar's own title, which is what a colleague sees
CalendarListEntry	summaryOverride	modeled	the name THIS user gave it; both are carried because a title that matches for one user may not for another (§6.1)
CalendarListEntry	timeZone	modeled	the calendar's zone as this user sees it (§4.1)
AclRule	etag	modeled	If-Match on an acl patch (§4.4)
AclRule	id	modeled	the rule's address, which unshare_calendar deletes by
AclRule	kind	out	a constant string naming the resource type
AclRule	role	modeled	what the rule grants, explained rather than echoed because writerWithoutPrivateAccess is not self-explanatory (§7.6)
AclRule	scope	modeled	who the rule applies to, including the default scope that means the public internet (§7.6)
